Ranking,Name
1,Massachusetts Institute of Technology (MIT)
2,Stanford University
4,Carnegie Mellon University
5,"University of California, Berkeley"
8,Harvard University
14,"University of California, Los Angeles"
16,Princeton University
20,Columbia University
21,The University of Texas at Austin
30,New York University
33,Georgia Institute of Technology
36,University of Southern California
37,University of Washington
47,Cornell University
51-75,Johns Hopkins University
51-75,Michigan State University
51-75,"University of California, San Diego"
51-75,University of Illinois Urbana-Champaign
51-75,"University of Maryland, College Park"
51-75,University of Michigan-Ann Arbor
51-75,University of North Carolina at Chapel Hill
76-100,Purdue University - West Lafayette
76-100,"Rutgers, The State University of New Jersey - New Brunswick"
76-100,University of Illinois at Chicago
76-100,University of Pennsylvania
76-100,Virginia Polytechnic Institute and State University
101-150,Arizona State University
101-150,Brown University
101-150,Duke University
101-150,New Jersey Institute of Technology
101-150,Northeastern University (Boston)
101-150,Northwestern University
101-150,Stony Brook University
101-150,Temple University
101-150,Texas A&M University
101-150,The University of Texas at San Antonio
101-150,"University of California, Merced"
101-150,University of Tennessee - Knoxville
101-150,University of Wisconsin - Madison
151-200,Pennsylvania State University - University Park
151-200,The Ohio State University - Columbus
151-200,"University of California, Irvine"
151-200,University of Central Florida
151-200,University of Florida
151-200,"University of Minnesota, Twin Cities"
151-200,University of Pittsburgh
151-200,University of Virginia
201-300,Boston University
201-300,Embry-Riddle Aeronautical University
201-300,Florida Atlantic University
201-300,Fordham University
201-300,North Carolina State University - Raleigh
201-300,Rensselaer Polytechnic Institute
201-300,Rochester Institute of Technology
201-300,Stevens Institute of Technology
201-300,The University of Texas at Dallas
201-300,University at Albany (State University of New York)
201-300,"University at Buffalo, the State University of New York"
201-300,"University of California, Davis"
201-300,"University of California, Santa Barbara"
201-300,"University of California, Santa Cruz"
201-300,University of Chicago
201-300,University of Houston
201-300,University of Kentucky
201-300,University of Massachusetts Amherst
201-300,University of Notre Dame
201-300,University of Rhode Island
201-300,University of Rochester
201-300,University of South Carolina - Columbia
201-300,Vanderbilt University
201-300,Washington University in St. Louis
201-300,Yale University
301-400,California Institute of Technology
301-400,Case Western Reserve University
301-400,Florida International University
301-400,George Mason University
301-400,Georgia State University
301-400,Illinois Institute of Technology
301-400,Indiana University Bloomington
301-400,Iowa State University
301-400,Louisiana State University - Baton Rouge
301-400,Mississippi State University
301-400,Missouri University of Science and Technology
301-400,Oklahoma State University
301-400,Oregon State University
301-400,SUNY New Paltz
301-400,The University of Texas at Arlington
301-400,"University of California, Riverside"
301-400,University of Colorado at Boulder
301-400,University of Idaho
301-400,University of Iowa
301-400,University of Massachusetts Lowell
301-400,University of Nebraska - Lincoln
301-400,University of Nevada - Reno
301-400,University of North Carolina at Charlotte
301-400,University of Oklahoma - Norman
301-400,University of Utah
401-500,Auburn University
401-500,Binghamton University
401-500,Clemson University
401-500,Emory University
401-500,Florida State University
401-500,Kennesaw State University
401-500,Lehigh University
401-500,Old Dominion University
401-500,Syracuse University
401-500,The University of Georgia
401-500,The University of New Mexico - Albuquerque
401-500,University of Arizona
401-500,University of Delaware
401-500,University of Missouri - Columbia
401-500,University of North Texas
401-500,University of South Florida
401-500,Washington State University
401-500,West Virginia University
